date,sentiment,preds,negative,neutral,positive
2013-09-27,0.0,0.0,0.0,1.0,0.0
2013-11-27,0.0,0.0,0.0,1.0,0.0
2014-05-14,0.0,0.0,0.0,1.0,0.0
2014-09-18,0.0,0.0,0.0,1.0,0.0
2014-09-25,0.0,0.0,0.0,1.0,0.0
2014-09-27,0.0,0.0,0.0,1.0,0.0
2014-10-14,0.0,0.0,0.0,1.0,0.0
2015-03-23,0.0,0.0,0.0,1.0,0.0
2015-05-18,0.0,0.0,0.0,1.0,0.0
2015-07-09,0.0,0.0,0.0,1.0,0.0
2015-08-07,0.0,0.0,0.0,1.0,0.0
2015-08-14,0.0,0.0,0.0,1.0,0.0
2015-08-24,0.0,0.0,0.0,1.0,0.0
2015-10-12,0.0,0.0,0.0,1.0,0.0
2015-10-14,0.0,0.0,0.0,1.0,0.0
2015-10-19,0.0,0.0,0.0,1.0,0.0
2015-10-31,0.0,0.0,0.0,1.0,0.0
2015-11-12,0.0,0.0,0.0,1.0,0.0
2015-11-27,0.0,0.0,0.0,1.0,0.0
2015-11-30,0.0,0.0,0.0,1.0,0.0
2015-12-08,0.0,0.0,0.0,1.0,0.0
2015-12-11,0.0,0.0,0.0,1.0,0.0
2015-12-15,0.0,0.0,0.0,1.0,0.0
2015-12-18,0.0,0.0,0.0,1.0,0.0
2015-12-19,0.0,0.0,0.0,1.0,0.0
2015-12-20,-1.0,-0.9983527660369872,1.0,0.0,0.0
2015-12-30,0.0,0.0,0.0,1.0,0.0
2016-01-05,0.0,0.0,0.0,1.0,0.0
2016-03-08,-1.0,-0.9983807802200316,1.0,0.0,0.0
2016-03-11,0.0,0.0,0.0,1.0,0.0
2016-03-17,-0.3333333333333333,-0.3327848116556803,0.3333333333333333,0.6666666666666666,0.0
2016-03-21,0.0,0.0018984377384185236,0.5,0.0,0.5
2016-03-23,0.0,0.0,0.0,1.0,0.0
2016-03-24,0.0,0.0,0.0,1.0,0.0
2016-04-13,0.0,0.0,0.0,1.0,0.0
2016-04-14,0.0,0.0,0.0,1.0,0.0
2016-04-15,0.0,0.0,0.0,1.0,0.0
2016-04-19,0.0,0.0,0.0,1.0,0.0
2016-04-24,0.0,0.0,0.0,1.0,0.0
2016-05-05,0.0,0.0,0.0,1.0,0.0
2016-05-10,0.0,0.0,0.0,1.0,0.0
2016-05-24,0.0,0.0,0.0,1.0,0.0
2016-06-01,0.0,0.0,0.0,1.0,0.0
2016-06-07,0.0,0.0,0.0,1.0,0.0
2016-06-27,0.0,0.0,0.0,1.0,0.0
2016-07-06,0.0,0.0,0.0,1.0,0.0
2016-07-11,0.0,0.0,0.0,1.0,0.0
2016-07-12,0.0,0.0,0.0,1.0,0.0
2016-07-14,0.0,0.0,0.0,1.0,0.0
2016-07-21,0.0,0.0,0.0,1.0,0.0
2016-07-26,0.0,0.0,0.0,1.0,0.0
2016-07-27,0.0,0.0,0.0,1.0,0.0
2016-08-10,0.0,0.0,0.0,1.0,0.0
2016-08-18,0.0,0.0,0.0,1.0,0.0
2016-08-25,0.0,0.0,0.0,1.0,0.0
2016-08-30,0.0,0.0,0.0,1.0,0.0
2016-09-02,0.0,0.0,0.0,1.0,0.0
2016-09-15,0.0,0.0,0.0,1.0,0.0
2016-09-19,0.0,0.0,0.0,1.0,0.0
2016-09-23,0.0,0.0,0.0,1.0,0.0
2016-09-29,0.0,0.0,0.0,1.0,0.0
2016-10-18,0.0,0.0,0.0,1.0,0.0
2016-10-31,0.0,0.0,0.0,1.0,0.0
2016-11-07,0.0,0.0,0.0,1.0,0.0
2016-11-10,0.0,0.0,0.0,1.0,0.0
2016-11-17,0.0,0.0,0.0,1.0,0.0
2016-11-21,0.0,0.0,0.0,1.0,0.0
2016-11-30,0.0,0.0,0.0,1.0,0.0
2016-12-01,0.0,0.0,0.0,1.0,0.0
2016-12-06,0.0,0.0,0.0,1.0,0.0
2016-12-07,0.0,0.0,0.0,1.0,0.0
2016-12-08,0.0,0.0,0.0,1.0,0.0
2016-12-09,-1.0,-0.9017989039421082,1.0,0.0,0.0
2016-12-12,0.0,0.0,0.0,1.0,0.0
2016-12-14,0.0,0.0,0.0,1.0,0.0
2016-12-19,0.0,0.0,0.0,1.0,0.0
2016-12-20,0.0,0.0,0.0,1.0,0.0
2016-12-21,0.0,0.0,0.0,1.0,0.0
2016-12-22,0.0,0.0,0.0,1.0,0.0
2016-12-28,1.0,0.9950602650642396,0.0,0.0,1.0
2016-12-29,0.0,0.0,0.0,1.0,0.0
2017-01-05,0.0,0.0,0.0,1.0,0.0
2017-01-06,0.0,0.0,0.0,1.0,0.0
2017-01-09,0.0,0.0,0.0,1.0,0.0
2017-01-10,0.0,0.0,0.0,1.0,0.0
2017-01-11,0.0,0.0,0.0,1.0,0.0
2017-01-12,0.0,0.0,0.0,1.0,0.0
2017-01-17,0.0,0.0,0.0,1.0,0.0
2017-01-23,0.0,0.0,0.0,1.0,0.0
2017-01-24,0.0,0.0,0.0,1.0,0.0
2017-01-26,0.0,0.0,0.0,1.0,0.0
2017-01-27,0.0,0.0,0.0,1.0,0.0
2017-01-30,0.0,0.0,0.0,1.0,0.0
2017-02-01,0.0,0.0,0.0,1.0,0.0
2017-02-02,0.0,0.0,0.0,1.0,0.0
2017-02-06,0.0,0.0,0.0,1.0,0.0
2017-02-07,0.0,0.0,0.0,1.0,0.0
2017-02-08,0.0,0.0,0.0,1.0,0.0
2017-02-09,0.0,0.0,0.0,1.0,0.0
2017-02-10,0.0,0.0,0.0,1.0,0.0
2017-02-13,0.0,0.0,0.0,1.0,0.0
2017-02-14,0.0,0.0,0.0,1.0,0.0
2017-02-16,0.0,0.0,0.0,1.0,0.0
2017-02-21,0.0,0.0,0.0,1.0,0.0
2017-02-23,0.0,0.0,0.0,1.0,0.0
2017-02-27,0.0,0.0,0.0,1.0,0.0
2017-02-28,0.0,0.0,0.0,1.0,0.0
2017-03-02,0.0,0.0,0.0,1.0,0.0
2017-03-03,0.0,0.0,0.0,1.0,0.0
2017-03-06,0.0,0.0,0.0,1.0,0.0
2017-03-07,0.0,0.0,0.0,1.0,0.0
2017-03-08,0.0,0.0,0.0,1.0,0.0
2017-03-09,0.0,0.0,0.0,1.0,0.0
2017-03-15,0.0,0.0,0.0,1.0,0.0
2017-03-16,0.0,0.0,0.0,1.0,0.0
2017-03-17,0.0,0.0,0.0,1.0,0.0
2017-03-21,0.0,0.0,0.0,1.0,0.0
2017-03-23,0.0,0.0,0.0,1.0,0.0
2017-03-24,0.0,0.0,0.0,1.0,0.0
2017-03-27,0.0,0.0,0.0,1.0,0.0
2017-03-28,0.0,0.0,0.0,1.0,0.0
2017-03-29,0.0,0.0,0.0,1.0,0.0
2017-03-30,0.0,0.0,0.0,1.0,0.0
2017-03-31,0.0,0.0,0.0,1.0,0.0
2017-04-04,0.0,0.0,0.0,1.0,0.0
2017-04-06,0.0,0.0,0.0,1.0,0.0
2017-04-07,0.0,0.0,0.0,1.0,0.0
2017-04-10,0.0,0.0,0.0,1.0,0.0
2017-04-11,0.0,0.0,0.0,1.0,0.0
2017-04-14,0.0,0.0,0.0,1.0,0.0
2017-04-17,0.0,0.0,0.0,1.0,0.0
2017-04-18,0.0,0.0,0.0,1.0,0.0
2017-04-20,0.0,0.0,0.0,1.0,0.0
2017-04-25,-0.3333333333333333,-0.3328017195065816,0.3333333333333333,0.6666666666666666,0.0
2017-04-26,0.0,0.0,0.0,1.0,0.0
2017-04-27,0.0,0.0,0.0,1.0,0.0
2017-05-01,0.0,0.0,0.0,1.0,0.0
2017-05-02,0.0,0.0,0.0,1.0,0.0
2017-05-03,0.0,0.0,0.0,1.0,0.0
2017-05-04,-0.3333333333333333,-0.3327650427818299,0.3333333333333333,0.6666666666666666,0.0
2017-05-05,-0.25,-0.2495737820863724,0.25,0.75,0.0
2017-05-09,0.0,0.0,0.0,1.0,0.0
2017-05-10,0.0,0.0,0.0,1.0,0.0
2017-05-11,0.0,0.0,0.0,1.0,0.0
2017-05-15,-0.5,-0.499131053686142,0.5,0.5,0.0
2017-05-16,0.0,0.0,0.0,1.0,0.0
2017-05-17,0.0,0.0,0.0,1.0,0.0
2017-05-18,0.0,0.0,0.0,1.0,0.0
2017-05-19,0.0,0.0,0.0,1.0,0.0
2017-05-22,0.25,0.2465535253286362,0.0,0.75,0.25
2017-05-23,0.0,0.0,0.0,1.0,0.0
2017-05-24,0.0,0.0,0.0,1.0,0.0
2017-05-25,0.0,0.0,0.0,1.0,0.0
2017-05-26,0.0,0.0,0.0,1.0,0.0
2017-05-30,0.0,0.0,0.0,1.0,0.0
2017-06-01,-0.5,-0.499158263206482,0.5,0.5,0.0
2017-06-05,0.0,0.0,0.0,1.0,0.0
2017-06-06,0.0,0.0,0.0,1.0,0.0
2017-06-07,0.0,0.0,0.0,1.0,0.0
2017-06-08,0.0,0.0,0.0,1.0,0.0
